row_number,tribology_data_id,old_literature_id,new_literature_id,assigned_pdf,assigned_title,confidence,rationale
52,101,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
53,102,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
54,103,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
55,104,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
56,105,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
57,106,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
58,107,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
59,108,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
60,109,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
61,110,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
62,111,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
63,112,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
64,113,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
65,114,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
66,115,8,25,2016-Rutland-Tribotronic control of friction in oil-based lubricants with ionic liquid additives.pdf,Tribotronic control of friction in oil-based lubricants with ionic liquid additives,high,"Au(111) + [P6,6,6,14][(iC8)2PO2] in hexadecane with potential-controlled nanotribology matches the exported tribotronic gold study."
67,116,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,Mica EAN / protic-IL row block is explicitly summarized in the export review PDF.
68,117,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,Mica EAN / protic-IL row block is explicitly summarized in the export review PDF.
69,118,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,Mica EAN / protic-IL row block is explicitly summarized in the export review PDF.
70,119,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,Mica EAN / protic-IL row block is explicitly summarized in the export review PDF.
71,120,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,Mica EAN / protic-IL row block is explicitly summarized in the export review PDF.
72,121,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,Mica EAN / protic-IL row block is explicitly summarized in the export review PDF.
73,122,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,Mica EAN / protic-IL row block is explicitly summarized in the export review PDF.
74,123,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,Mica EAN / protic-IL row block is explicitly summarized in the export review PDF.
75,124,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,Mica EAN / protic-IL row block is explicitly summarized in the export review PDF.
76,125,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,Mica EAN / protic-IL row block is explicitly summarized in the export review PDF.
77,126,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,Mica EAN / protic-IL row block is explicitly summarized in the export review PDF.
78,127,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,Mica EAN / protic-IL row block is explicitly summarized in the export review PDF.
79,128,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,Mica EAN / protic-IL row block is explicitly summarized in the export review PDF.
80,129,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,Mica EAN / protic-IL row block is explicitly summarized in the export review PDF.
81,130,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,Mica EAN / protic-IL row block is explicitly summarized in the export review PDF.
82,131,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,Mica EAN / protic-IL row block is explicitly summarized in the export review PDF.
83,132,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
84,133,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
85,134,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
86,135,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
87,136,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
88,137,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
89,138,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
90,139,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
91,140,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
92,141,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
93,142,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
94,143,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
95,144,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
96,145,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
97,146,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
98,147,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
99,148,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
100,149,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
101,150,8,33,"[P6,6,6,14][BMB]&PC-gold-rutland-2020.pdf",Electroresponsive structuring and friction of a non-halogenated ionic liquid in a polar solvent: effect of concentration,high,"Au(111) + [P6,6,6,14][BMB]/PC with potential- and speed-dependent friction matches the exported gold/PC tribotronic paper."
102,151,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,The export review PDF explicitly covers stainless-steel / silica nanofriction examples for these IL families.
103,152,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,The export review PDF explicitly covers stainless-steel / silica nanofriction examples for these IL families.
104,153,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,The export review PDF explicitly covers stainless-steel / silica nanofriction examples for these IL families.
105,154,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,The export review PDF explicitly covers stainless-steel / silica nanofriction examples for these IL families.
106,155,8,29,2022-an-Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces.pdf,Atomic force microscopy probing interactions and microstructures of ionic liquids at solid surfaces,medium,The export review PDF explicitly covers stainless-steel / silica nanofriction examples for these IL families.
