Cation,anion,compound,surface,h,r_cat,logP_cat,MW_cat,N_rot_cat,velocity,I_ss,Potential,MW_an,Bertz_cat,r_an,N_qN_cat,σ_s,γ_s,TPSA_an,Rq,TPSA_cat,BalJ_cat,logP_an,θ_s,I_H2O,T,x_IL,N_HA_cat,Bertz_an,BalJ_an,μ,friction_bin,cation_bin,stratify_label,original_index,friction_pred,friction_diff,error_flag
[HMIM]+,[FAP]-,zero,HOPG,4.454545455,3.540263249,1.8929,167.276,5,6.0,0,1.0,445.004,215.3680851,3.775688868,0,0.05,-0.0002,0.0,0.89,8.81,2.153242802,7.1942,85.0,0,298,100.0,1,468.4882895,7.871070033,0.012,0.0,167.276,0_167.276,,,,
[EA]+,[F]-,zero,mica,0.537074148,2.431285504,-0.7518,46.093,0,20.0,0,0.0,45.017,2.754887502,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.632993162,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.040506329,6.0,46.093,6_46.093,,,,
[PA]+,[F]-,zero,mica,1.875,2.642365161,-0.3617,60.12,1,5.0,0,0.0,45.017,5.245112498,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.974744871,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,2.596830986,7.0,60.12,7_60.12,,,,
[HMIM]+,[FAP]-,zero,HOPG,0.0,3.540263249,1.8929,167.276,5,6.0,0,0.0,445.004,215.3680851,3.775688868,0,0.05,-0.0002,0.0,0.89,8.81,2.153242802,7.1942,85.0,0,298,0.0,1,468.4882895,7.871070033,0.013,1.0,167.276,1_167.276,,,,
[PA]+,[N]-,zero,mica,0.542797495,2.642365161,-0.3617,60.12,1,10.0,0,0.0,62.004,5.245112498,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.974744871,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.997468354,6.0,60.12,6_60.12,,,,
"[P6,6,6,14]+",[AOT]-,(CH2CO2Et)2,stainless steel,0.56,5.174799948,12.446,483.87,28,6.0,1,0.0,421.576,319.1282666,4.637037402,0,0.07,0.01,109.8,0.9,0.0,4.337445108,3.8095,72.0,0,298,0.0,0,544.7574562,4.726289834,0.98,6.0,483.87,6_483.87,,,,
[EA]+,[N]-,zero,mica,0.28,2.431285504,-0.7518,46.093,0,30.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.304,4.0,46.093,4_46.093,,,,
[DMEA]+,[F]-,zero,mica,1.053533191,2.824148313,-0.8492,74.147,1,40.0,0,0.0,45.017,17.60964047,2.091441062,1,1.77,-0.16,40.13,0.0569,4.44,2.539538861,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,2.2,7.0,74.147,7_74.147,,,,
[BMIm]+,[BF4]-,zero,mica,0.0,3.310978931,1.1127,139.222,3,20.0,0,0.0,86.804,190.8925906,2.328453731,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,1.3,0.0,0,298,0.0,1,19.11941548,3.023715784,0.03,1.0,139.222,1_139.222,,,,
[HMIM]+,[FAP]-,zero,HOPG,3.436363636,3.540263249,1.8929,167.276,5,6.0,0,-1.0,445.004,215.3680851,3.775688868,0,0.05,-0.0002,0.0,0.89,8.81,2.153242802,7.1942,85.0,0,298,100.0,1,468.4882895,7.871070033,0.055,1.0,167.276,1_167.276,,,,
[EA]+,[N]-,zero,mica,0.28,2.431285504,-0.7518,46.093,0,30.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,339,100.0,0,26.26466251,2.803039488,0.369,4.0,46.093,4_46.093,,,,
"[P6,6,6,14]+",[TFSI]-,zero,HOPG,1.7,5.174799948,12.446,483.87,28,6.0,0,0.0,280.147,319.1282666,3.359227186,0,0.05,-0.0002,82.38,0.89,0.0,4.337445108,1.0593,85.0,0,298,100.0,0,384.7328028,5.284512596,0.014,1.0,483.87,1_483.87,,,,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.83,5.174799948,12.446,483.87,28,1.0,0,0.25,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,0.67,0,682.1804819,1.591434542,0.114,2.0,483.87,2_483.87,,,,
"[P6,6,6,14]+",[(iC8)2PO2]-,zero,HOPG,3.4,5.174799948,12.446,483.87,28,6.0,0,-1.0,289.42,319.1282666,4.246635376,0,0.05,-0.0002,40.13,0.89,0.0,4.337445108,4.7694,85.0,0,298,100.0,0,281.6910727,4.359263597,0.002,0.0,483.87,0_483.87,,,,
[EtA]+,[N]-,zero,mica,2.837894737,2.543129445,-1.7794,62.092,1,5.0,0,0.0,62.004,8.0,2.192174955,1,1.77,-0.16,66.2,0.0569,47.87,1.974744871,-0.2391,0.0,0,298,100.0,1,26.26466251,2.803039488,1.584507042,7.0,62.092,7_62.092,,,,
[EA]+,[N]-,zero,mica,0.4,2.431285504,-0.7518,46.093,0,1.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.022828619,1.0,46.093,1_46.093,,,,
[PA]+,[N]-,zero,mica,0.542797495,2.642365161,-0.3617,60.12,1,40.0,0,0.0,62.004,5.245112498,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.974744871,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,1.1,6.0,60.12,6_60.12,,,,
[EA]+,[N]-,zero,mica,0.1,2.431285504,-0.7518,46.093,0,0.5,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.022795699,1.0,46.093,1_46.093,,,,
[EA]+,[F]-,zero,mica,1.667334669,2.431285504,-0.7518,46.093,0,30.0,0,0.0,45.017,2.754887502,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.632993162,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.434859155,7.0,46.093,7_46.093,,,,
[PA]+,[N]-,zero,mica,0.542797495,2.642365161,-0.3617,60.12,1,30.0,0,0.0,62.004,5.245112498,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.974744871,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,1.113924051,6.0,60.12,6_60.12,,,,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),5.32,5.174799948,12.446,483.87,28,1.0,0,0.25,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,3.1,0,682.1804819,1.591434542,0.1338,3.0,483.87,3_483.87,,,,
[DMEA]+,[F]-,zero,mica,1.053533191,2.824148313,-0.8492,74.147,1,30.0,0,0.0,45.017,17.60964047,2.091441062,1,1.77,-0.16,40.13,0.0569,4.44,2.539538861,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.778169014,7.0,74.147,7_74.147,,,,
[EA]+,[N]-,zero,mica,0.1,2.431285504,-0.7518,46.093,0,1.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.019871158,1.0,46.093,1_46.093,,,,
"[P6,6,6,14]+",[TFSI]-,zero,HOPG,3.0,5.174799948,12.446,483.87,28,6.0,0,-1.0,280.147,319.1282666,3.359227186,0,0.05,-0.0002,82.38,0.89,0.0,4.337445108,1.0593,85.0,0,298,100.0,0,384.7328028,5.284512596,0.006,0.0,483.87,0_483.87,,,,
[EA]+,[N]-,zero,mica,0.4,2.431285504,-0.7518,46.093,0,40.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.14,3.0,46.093,3_46.093,,,,
[BMIm]+,[PF6]-,zero,HOPG,7.0,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,3.3824,85.0,0,298,100.0,1,62.74506838,4.431293675,0.0013,0.0,139.222,0_139.222,,,,
[BMIm]+,[AOT]-,H2O,Au(111),3.29,3.310978931,1.1127,139.222,3,6.0,0,1.0,421.576,190.8925906,4.637037402,0,0.7,-0.02,109.8,0.2,8.81,2.422977778,3.8095,60.0,1,298,16.5,1,544.7574562,4.726289834,0.001,0.0,139.222,0_139.222,,,,
"[P6,6,6,14]+",[AOT]-,hexadecane,stainless steel,1.05,5.174799948,12.446,483.87,28,6.0,1,0.0,421.576,319.1282666,4.637037402,0,0.07,0.01,109.8,0.9,0.0,4.337445108,3.8095,72.0,0,298,1.299,0,544.7574562,4.726289834,0.54,5.0,483.87,5_483.87,,,,
[EA]+,[N]-,zero,mica,0.28,2.431285504,-0.7518,46.093,0,20.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,369,100.0,0,26.26466251,2.803039488,0.309,4.0,46.093,4_46.093,,,,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.81,5.174799948,12.446,483.87,28,6.0,0,-0.12,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,3.1,0,682.1804819,1.591434542,0.1229,3.0,483.87,3_483.87,,,,
[HOC4MPip]+,[TFSI]-,zero,mica,1.608,3.589900502,1.3894,172.292,4,6.0,0,0.0,280.147,119.0069869,3.359227186,1,1.77,-0.16,82.38,0.0569,20.23,2.172199717,1.0593,0.0,0,293,100.0,1,384.7328028,5.284512596,0.16,3.0,172.292,3_172.292,,,,
[EA]+,[F]-,zero,mica,0.537074148,2.431285504,-0.7518,46.093,0,40.0,0,0.0,45.017,2.754887502,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.632993162,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.1,6.0,46.093,6_46.093,,,,
[EtA]+,[N]-,zero,mica,2.837894737,2.543129445,-1.7794,62.092,1,30.0,0,0.0,62.004,8.0,2.192174955,1,1.77,-0.16,66.2,0.0569,47.87,1.974744871,-0.2391,0.0,0,298,100.0,1,26.26466251,2.803039488,2.667253521,7.0,62.092,7_62.092,,,,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.9,5.174799948,12.446,483.87,28,12.0,0,-1.0,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,3.1,0,682.1804819,1.591434542,0.0987,2.0,483.87,2_483.87,,,,
"[P6,6,6,14]+",[TFSI]-,zero,stainless steel,1.224080268,5.174799948,12.446,483.87,28,6.0,1,0.0,280.147,319.1282666,3.359227186,0,0.07,0.01,82.38,0.89,0.0,4.337445108,1.0593,72.0,0,298,100.0,0,384.7328028,5.284512596,0.39,4.0,483.87,4_483.87,,,,
[HMIM]+,[FAP]-,zero,HOPG,0.372,3.540263249,1.8929,167.276,5,6.0,0,0.0,445.004,215.3680851,3.775688868,0,0.05,-0.0002,0.0,0.89,8.81,2.153242802,7.1942,85.0,0,298,100.0,1,468.4882895,7.871070033,0.019,1.0,167.276,1_167.276,,,,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.48,5.174799948,12.446,483.87,28,12.0,0,-0.12,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,0.67,0,682.1804819,1.591434542,0.1149,3.0,483.87,3_483.87,,,,
[BMIm]+,[PF6]-,zero,mica,0.0,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,3.3824,0.0,0,298,0.0,1,62.74506838,4.431293675,0.03,1.0,139.222,1_139.222,,,,
"[P4,4,4,1 ]+",[TFSI]-,zero,HOPG,2.4,3.951373459,5.0341,217.357,9,6.0,0,-1.0,280.147,98.62953293,3.359227186,0,0.05,-0.0002,82.38,0.89,0.0,3.889782595,1.0593,85.0,0,298,100.0,0,384.7328028,5.284512596,0.018,1.0,217.357,1_217.357,,,,
[EA]+,[N]-,zero,mica,0.4,2.431285504,-0.7518,46.093,0,5.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.14,3.0,46.093,3_46.093,,,,
"[P6,6,6,14]+",[AOT]-,(CH2CO2Et)2,stainless steel,0.58,5.174799948,12.446,483.87,28,6.0,1,0.0,421.576,319.1282666,4.637037402,0,0.07,0.01,109.8,0.9,0.0,4.337445108,3.8095,72.0,0,298,0.391,0,544.7574562,4.726289834,0.36,4.0,483.87,4_483.87,,,,
[EtA]+,[N]-,zero,mica,0.437894737,2.543129445,-1.7794,62.092,1,5.0,0,0.0,62.004,8.0,2.192174955,1,1.77,-0.16,66.2,0.0569,47.87,1.974744871,-0.2391,0.0,0,298,100.0,1,26.26466251,2.803039488,0.643037975,5.0,62.092,5_62.092,,,,
[BMIm]+,[BF4]-,zero,HOPG,6.5,3.310978931,1.1127,139.222,3,20.0,0,0.0,86.804,190.8925906,2.328453731,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,1.3,85.0,0,298,100.0,1,19.11941548,3.023715784,0.0017,0.0,139.222,0_139.222,,,,
[BMIm]+,[PF6]-,zero,mica,2.0,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,3.3824,0.0,0,298,100.0,1,62.74506838,4.431293675,0.1,2.0,139.222,2_139.222,,,,
[BMIm]+,[TFSI]-,zero,Au(111),1.548099078,3.310978931,1.1127,139.222,3,6.0,0,0.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.092,2.0,139.222,2_139.222,,,,
"[P6,6,6,14]+",[AOT]-,(CH2CO2Et)2,stainless steel,0.69,5.174799948,12.446,483.87,28,6.0,1,-0.76,421.576,319.1282666,4.637037402,0,0.07,0.01,109.8,0.9,0.0,4.337445108,3.8095,72.0,0,298,1.002,0,544.7574562,4.726289834,0.57,5.0,483.87,5_483.87,,,,
[EA]+,[N]-,zero,mica,0.28,2.431285504,-0.7518,46.093,0,10.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,339,100.0,0,26.26466251,2.803039488,0.303,4.0,46.093,4_46.093,,,,
[BMIm]+,[TFSI]-,zero,Au(111),0.692108295,3.310978931,1.1127,139.222,3,6.0,0,-1.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.006,0.0,139.222,0_139.222,,,,
[PA]+,[N]-,zero,mica,3.206680585,2.642365161,-0.3617,60.12,1,30.0,0,0.0,62.004,5.245112498,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.974744871,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,3.970070423,7.0,60.12,7_60.12,,,,
[BMIm]+,[TFSI]-,zero,Au(111),1.543490783,3.310978931,1.1127,139.222,3,6.0,0,-1.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.135,3.0,139.222,3_139.222,,,,
[HMIM]+,[FAP]-,zero,HOPG,3.872727273,3.540263249,1.8929,167.276,5,6.0,0,1.5,445.004,215.3680851,3.775688868,0,0.05,-0.0002,0.0,0.89,8.81,2.153242802,7.1942,85.0,0,298,100.0,1,468.4882895,7.871070033,0.001,0.0,167.276,0_167.276,,,,
[PA]+,[F]-,zero,mica,1.875,2.642365161,-0.3617,60.12,1,40.0,0,0.0,45.017,5.245112498,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.974744871,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,4.5,7.0,60.12,7_60.12,,,,
[BMIm]+,[BF4]-,zero,mica,2.1,3.310978931,1.1127,139.222,3,20.0,0,0.0,86.804,190.8925906,2.328453731,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,1.3,0.0,0,298,100.0,1,19.11941548,3.023715784,0.08,2.0,139.222,2_139.222,,,,
[DMEA]+,[F]-,zero,mica,1.053533191,2.824148313,-0.8492,74.147,1,20.0,0,0.0,45.017,17.60964047,2.091441062,1,1.77,-0.16,40.13,0.0569,4.44,2.539538861,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.875,7.0,74.147,7_74.147,,,,
[BMIm]+,[TFSI]-,zero,Au(111),2.285714286,3.310978931,1.1127,139.222,3,6.0,0,0.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.243,4.0,139.222,4_139.222,,,,
[EtA]+,[N]-,zero,mica,0.437894737,2.543129445,-1.7794,62.092,1,10.0,0,0.0,62.004,8.0,2.192174955,1,1.77,-0.16,66.2,0.0569,47.87,1.974744871,-0.2391,0.0,0,298,100.0,1,26.26466251,2.803039488,0.678481013,5.0,62.092,5_62.092,,,,
[EA]+,[N]-,zero,mica,0.28,2.431285504,-0.7518,46.093,0,20.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,339,100.0,0,26.26466251,2.803039488,0.32,4.0,46.093,4_46.093,,,,
[C10(C1Im)2]2+,[TFSI]-,zero,mica,2.4,4.268585015,2.8978,304.482,11,0.052,0,0.0,280.147,478.4344778,3.359227186,0,1.77,-0.16,82.38,0.0596,39.34,1.38550141,1.0593,0.0,0,298,100.0,0,384.7328028,5.284512596,0.028,1.0,304.482,1_304.482,,,,
"[Py1,4]+",[FAP]-,zero,Au(111),4.014337,3.423597497,2.0269,142.266,3,6.0,0,1.5,445.004,92.90138861,3.775688868,1,0.7,-0.02,0.0,1.0,0.0,2.21874475,7.1942,60.0,0,298,100.0,0,468.4882895,7.871070033,0.59,5.0,142.266,5_142.266,,,,
[EtA]+,[N]-,zero,mica,2.837894737,2.543129445,-1.7794,62.092,1,40.0,0,0.0,62.004,8.0,2.192174955,1,1.77,-0.16,66.2,0.0569,47.87,1.974744871,-0.2391,0.0,0,298,100.0,1,26.26466251,2.803039488,2.9,7.0,62.092,7_62.092,,,,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.81,5.174799948,12.446,483.87,28,12.0,0,-0.12,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,3.1,0,682.1804819,1.591434542,0.1096,2.0,483.87,2_483.87,,,,
[BMIm]+,[TFSI]-,zero,Au(111),0.719038018,3.310978931,1.1127,139.222,3,6.0,0,0.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.044,1.0,139.222,1_139.222,,,,
[BMIm]+,[PF6]-,zero,HOPG,3.2,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,3.3824,85.0,0,298,100.0,1,62.74506838,4.431293675,0.005,0.0,139.222,0_139.222,,,,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),5.32,5.174799948,12.446,483.87,28,12.0,0,0.25,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,3.1,0,682.1804819,1.591434542,0.1288,3.0,483.87,3_483.87,,,,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.42,5.174799948,12.446,483.87,28,1.0,0,-1.0,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,0.67,0,682.1804819,1.591434542,0.0618,2.0,483.87,2_483.87,,,,
[BMIm]+,[PF6]-,zero,mica,2.6,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,3.3824,0.0,0,298,100.0,1,62.74506838,4.431293675,0.09,2.0,139.222,2_139.222,,,,
[EA]+,[F]-,zero,mica,0.537074148,2.431285504,-0.7518,46.093,0,30.0,0,0.0,45.017,2.754887502,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.632993162,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.149367089,6.0,46.093,6_46.093,,,,
[PA]+,[N]-,zero,mica,3.206680585,2.642365161,-0.3617,60.12,1,40.0,0,0.0,62.004,5.245112498,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.974744871,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,4.4,7.0,60.12,7_60.12,,,,
[BMIm]+,[AOT]-,H2O,Au(111),1.44,3.310978931,1.1127,139.222,3,6.0,0,1.0,421.576,190.8925906,4.637037402,0,0.7,-0.02,109.8,0.2,8.81,2.422977778,3.8095,60.0,1,298,16.5,1,544.7574562,4.726289834,0.431,5.0,139.222,5_139.222,,,,
"[P6,6,6,14]+",[DS]-,(CH2CO2Et)2,stainless steel,1.18,5.174799948,12.446,483.87,28,6.0,1,0.0,265.395,319.1282666,3.990255029,0,0.07,0.01,66.43,0.9,0.0,4.337445108,3.3841,72.0,0,298,1.263,0,249.2312434,3.038016531,0.69,5.0,483.87,5_483.87,,,,
[PA]+,[N]-,zero,mica,3.206680585,2.642365161,-0.3617,60.12,1,10.0,0,0.0,62.004,5.245112498,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.974744871,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,3.424295775,7.0,60.12,7_60.12,,,,
[PA]+,[N]-,zero,mica,3.206680585,2.642365161,-0.3617,60.12,1,5.0,0,0.0,62.004,5.245112498,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.974744871,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,2.75528169,7.0,60.12,7_60.12,,,,
[HOC3MPip]+,[TFSI]-,zero,mica,1.526,3.47886167,0.9993,158.265,3,6.0,0,0.0,280.147,108.1303606,3.359227186,1,1.77,-0.16,82.38,0.0569,20.23,2.25045382,1.0593,0.0,0,293,100.0,1,384.7328028,5.284512596,0.23,4.0,158.265,4_158.265,,,,
[HMIM]+,[I]-,zero,stainless steel,3.371237458,3.540263249,1.8929,167.276,5,6.0,1,0.0,126.904,215.3680851,2.113761051,0,0.07,0.01,0.0,0.89,8.81,2.153242802,-2.996,72.0,0,298,100.0,1,0.0,0.0,0.46,5.0,167.276,5_167.276,,,,
[C10(C1Im)2]2+,[TFSI]-,zero,mica,2.4,4.268585015,2.8978,304.482,11,0.47,0,0.0,280.147,478.4344778,3.359227186,0,1.77,-0.16,82.38,0.0596,39.34,1.38550141,1.0593,0.0,0,298,100.0,0,384.7328028,5.284512596,0.01,0.0,304.482,0_304.482,,,,
[HMIM]+,[FAP]-,zero,HOPG,3.654545455,3.540263249,1.8929,167.276,5,6.0,0,0.0,445.004,215.3680851,3.775688868,0,0.05,-0.0002,0.0,0.89,8.81,2.153242802,7.1942,85.0,0,298,100.0,1,468.4882895,7.871070033,0.11984,3.0,167.276,3_167.276,,,,
[BMIm]+,[TFSI]-,PIL,Au(111),3.760869565,3.310978931,1.1127,139.222,3,6.0,0,-1.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,95.0,1,384.7328028,5.284512596,0.911,6.0,139.222,6_139.222,,,,
Poly(3MAPIm)+,[TFSI]-,BMIM TFSI,Au(111),3.043478261,3.639451851,0.2289,196.274,5,6.0,0,0.0,280.147,293.312147,3.359227186,0,0.7,-0.02,82.38,1.0,37.91,2.128181097,1.0593,60.0,0,298,5.0,2,384.7328028,5.284512596,0.634,5.0,196.274,5_196.274,,,,
Poly(3MAPIm)+,[TFSI]-,BMIM TFSI,Au(111),3.760869565,3.639451851,0.2289,196.274,5,6.0,0,-1.0,280.147,293.312147,3.359227186,0,0.7,-0.02,82.38,1.0,37.91,2.128181097,1.0593,60.0,0,298,5.0,2,384.7328028,5.284512596,0.911,6.0,196.274,6_196.274,,,,
[EtA]+,[N]-,zero,mica,0.437894737,2.543129445,-1.7794,62.092,1,40.0,0,0.0,62.004,8.0,2.192174955,1,1.77,-0.16,66.2,0.0569,47.87,1.974744871,-0.2391,0.0,0,298,100.0,1,26.26466251,2.803039488,0.8,6.0,62.092,6_62.092,,,,
[DMEA]+,[F]-,zero,mica,1.053533191,2.824148313,-0.8492,74.147,1,5.0,0,0.0,45.017,17.60964047,2.091441062,1,1.77,-0.16,40.13,0.0569,4.44,2.539538861,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.197183099,6.0,74.147,6_74.147,,,,
[HMIM]+,[FAP]-,zero,HOPG,0.413,3.540263249,1.8929,167.276,5,6.0,0,1.0,445.004,215.3680851,3.775688868,0,0.05,-0.0002,0.0,0.89,8.81,2.153242802,7.1942,85.0,0,298,100.0,1,468.4882895,7.871070033,0.012,0.0,167.276,0_167.276,0.0,-0.0718107806237612,0.0838107806237612,
[BMIm]+,[PF6]-,zero,HOPG,2.6,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,3.3824,85.0,0,298,100.0,1,62.74506838,4.431293675,0.007,0.0,139.222,0_139.222,1.0,0.0279619155536939,0.0209619155536939,
[EA]+,[N]-,zero,mica,0.75,2.431285504,-0.7518,46.093,0,30.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,339,100.0,0,26.26466251,2.803039488,0.414,4.0,46.093,4_46.093,2.0,0.5288259785473701,0.1148259785473701,
[PA]+,[N]-,zero,mica,3.206680585,2.642365161,-0.3617,60.12,1,20.0,0,0.0,62.004,5.245112498,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.974744871,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,3.741197183,7.0,60.12,7_60.12,3.0,3.855045307099596,0.1138481240995958,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.83,5.174799948,12.446,483.87,28,6.0,0,0.25,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,0.67,0,682.1804819,1.591434542,0.1097,2.0,483.87,2_483.87,4.0,0.1227963066855939,0.0130963066855939,
[DMEA]+,[F]-,zero,mica,0.445396146,2.824148313,-0.8492,74.147,1,10.0,0,0.0,45.017,17.60964047,2.091441062,1,1.77,-0.16,40.13,0.0569,4.44,2.539538861,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,0.463291139,5.0,74.147,5_74.147,5.0,0.571817550794173,0.1085264117941729,
"[P6,6,6,14]+",[AOT]-,(CH2CO2Et)2,stainless steel,0.69,5.174799948,12.446,483.87,28,6.0,1,0.24,421.576,319.1282666,4.637037402,0,0.07,0.01,109.8,0.9,0.0,4.337445108,3.8095,72.0,0,298,1.002,0,544.7574562,4.726289834,0.54,5.0,483.87,5_483.87,6.0,0.2523192163217187,0.2876807836782813,
