Cation,anion,compound,surface,Potential,TPSA_cat,Bertz_cat,N_HD_cat,γ_s,Rq,r_cat,N_HA_cat,N_rot_cat,σ_s,x_IL,I_H2O,I_ss,TPSA_an,BalJ_cat,θ_s,MW_an,MW_cat,r_an,T,N_qN_cat,Bertz_an,velocity,logP_cat,logP_an,BalJ_an,μ,friction_bin,cation_bin,stratify_label,original_index,friction_pred,friction_diff,error_flag
[EMIM] +,[FAP]-,zero,Au(111),1.0,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,12.0,0.3325,7.1942,7.871070033,0.35,5.0,111.168,5_111.168,10.0,0.3499999910981518,8.901848147502278e-09,
[PA]+,[F]-,zero,mica,0.0,27.64,5.245112498,1,-0.16,0.0569,2.642365161,0,1,1.77,100.0,0,0,40.13,1.974744871,0.0,45.017,60.12,2.091441062,298,1,10.26466251,10.0,-0.3617,-1.6339,2.187496097,0.97721519,7.0,60.12,7_60.12,11.0,0.9772151692045464,2.079545347033473e-08,
[EA]+,[F]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,40.13,1.632993162,0.0,45.017,46.093,2.091441062,298,1,10.26466251,5.0,-0.7518,-1.6339,2.187496097,0.929113924,7.0,46.093,7_46.093,12.0,0.9291139232828386,7.171614413437053e-10,
[EMIM] +,[FAP]-,zero,Au(111),-1.0,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,2.0,0.3325,7.1942,7.871070033,0.16,3.0,111.168,3_111.168,13.0,0.1599999996221766,3.7782332817926085e-10,
[EMIM] +,[FAP]-,zero,Au(111),-0.5,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,6.0,0.3325,7.1942,7.871070033,0.22,3.0,111.168,3_111.168,14.0,0.2199999995742078,4.2579215153715206e-10,
[BMIm]+,[AOT]-,H2O,Au(111),-1.0,8.81,190.8925906,0,-0.02,0.2,3.310978931,1,3,0.7,16.5,1,0,109.8,2.422977778,60.0,421.576,139.222,4.637037402,298,0,544.7574562,6.0,1.1127,3.8095,4.726289834,0.312,4.0,139.222,4_139.222,15.0,0.3120000059119558,5.911955813786561e-09,
[EMIM] +,[FAP]-,zero,Au(111),0.5,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,2.0,0.3325,7.1942,7.871070033,0.28,4.0,111.168,4_111.168,16.0,0.2800000013994067,1.399406646118706e-09,
[BMIm]+,[I]-,zero,Au(111),-0.5,8.81,190.8925906,0,-0.02,0.2,3.310978931,1,3,0.7,100.0,0,0,0.0,2.422977778,60.0,126.904,139.222,2.113761051,293,0,0.0,2.0,1.1127,-2.996,0.0,0.2,3.0,139.222,3_139.222,17.0,0.2000000037645085,3.764508482717588e-09,
"[P6,6,6,14]+",[TFSI]-,[P66614][Doc],stainless steel,-4.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,82.6,0,1,82.38,4.337445108,72.0,280.147,483.87,3.359227186,298,0,384.7328028,13.0,12.446,1.0593,5.284512596,0.00102,0.0,483.87,0_483.87,18.0,0.001020000376833,3.7683303005797687e-10,
[PA]+,[F]-,zero,mica,0.0,27.64,5.245112498,1,-0.16,0.0569,2.642365161,0,1,1.77,100.0,0,0,40.13,1.974744871,0.0,45.017,60.12,2.091441062,298,1,10.26466251,20.0,-0.3617,-1.6339,2.187496097,0.964556962,7.0,60.12,7_60.12,19.0,0.9645569348052088,2.7194791196727408e-08,
"[P6,6,6,14]+",[TFSI]-,[P66614][Doc],stainless steel,-4.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,82.6,0,1,82.38,4.337445108,72.0,280.147,483.87,3.359227186,298,0,384.7328028,130.0,12.446,1.0593,5.284512596,0.000288,0.0,483.87,0_483.87,20.0,0.0002880009665358,9.665358063058215e-10,
[PA]+,[N]-,zero,mica,0.0,27.64,5.245112498,1,-0.16,0.0569,2.642365161,0,1,1.77,100.0,0,0,66.2,1.974744871,0.0,62.004,60.12,2.192174955,298,1,26.26466251,10.0,-0.3617,-0.2391,2.803039488,0.997468354,7.0,60.12,7_60.12,21.0,0.9974683559847424,1.984742259431016e-09,
"[P6,6,6,14]+",[AOT]-,[P66614][BTA],stainless steel,0.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,17.4,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,130.0,12.446,3.8095,4.726289834,0.03155,1.0,483.87,1_483.87,22.0,0.0315500013833328,1.3833328579848647e-09,
[EMIM] +,[FAP]-,zero,Au(111),-1.0,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,20.0,0.3325,7.1942,7.871070033,0.2,3.0,111.168,3_111.168,23.0,0.2000000050618557,5.061855740118304e-09,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),-1.0,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,3.1,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,6.0,12.446,2.0514,1.591434542,0.0881,2.0,483.87,2_483.87,24.0,0.0881000030277759,3.0277759327512754e-09,
[EMIM] +,[FAP]-,zero,Au(111),0.0,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,20.0,0.3325,7.1942,7.871070033,0.34,5.0,111.168,5_111.168,25.0,0.3400000040577132,4.057713220984027e-09,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,silica,0.0,0.0,319.1282666,0,-0.07,0.5,5.174799948,0,28,0.2,2.0,0,0,40.13,4.337445108,20.7,289.42,483.87,4.246635376,298,0,281.6910727,6.0,12.446,4.7694,4.359263597,0.37,5.0,483.87,5_483.87,26.0,0.3700000046314323,4.631432293233928e-09,
[EMIM] +,[FAP]-,zero,Au(111),-0.5,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,2.0,0.3325,7.1942,7.871070033,0.2,3.0,111.168,3_111.168,27.0,0.1999999990005288,9.99471144735864e-10,
[EA]+,[N]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,66.2,1.632993162,0.0,62.004,46.093,2.192174955,298,1,26.26466251,20.0,-0.7518,-0.2391,2.803039488,0.281,4.0,46.093,4_46.093,28.0,0.1905093647704287,0.0904906352295713,
[EMIM] +,[FAP]-,zero,Au(111),0.5,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,12.0,0.3325,7.1942,7.871070033,0.3,4.0,111.168,4_111.168,29.0,0.3000000167384036,1.673840360760792e-08,
[BMIm]+,[TFSI]-,zero,Au(111),-1.0,8.81,190.8925906,0,-0.02,1.0,3.310978931,1,3,0.7,100.0,0,0,82.38,2.422977778,60.0,280.147,139.222,3.359227186,298,0,384.7328028,6.0,1.1127,1.0593,5.284512596,0.006,0.0,139.222,0_139.222,30.0,0.0059999971699171,2.830082885055263e-09,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),0.0,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,0.0,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,6.0,12.446,2.0514,1.591434542,0.14,3.0,483.87,3_483.87,31.0,0.1400000001674743,1.6747436770714328e-10,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),-0.15,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,10.0,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.314,5.0,483.87,5_483.87,32.0,0.3140000137436808,1.3743680804534364e-08,
[HMIM]+,[FAP]-,zero,Au(111),0.0,8.81,215.3680851,0,-0.02,0.2,3.540263249,1,5,0.7,100.0,0,0,0.0,2.153242802,60.0,445.004,167.276,3.775688868,293,0,468.4882895,2.0,1.8929,7.1942,7.871070033,0.28,4.0,167.276,4_167.276,33.0,0.2800000024251522,2.425152190177471e-09,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),-0.12,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,3.1,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,12.0,12.446,2.0514,1.591434542,0.1096,2.0,483.87,2_483.87,34.0,0.1096000017917411,1.7917411720969052e-09,
[Li(G4)]+,[N]-,zero,Au(111),-0.5,46.15,103.3825112,0,-0.02,1.0,3.859895249,5,12,0.7,100.0,0,0,66.2,0.0,60.0,62.004,229.222,2.192174955,298,0,26.26466251,6.0,-2.667,-0.2391,2.803039488,0.12,2.0,229.222,2_229.222,35.0,0.1199999954964121,4.503587835991141e-09,
[BMIm]+,[I]-,zero,Au(111),-1.0,8.81,190.8925906,0,-0.02,0.2,3.310978931,1,3,0.7,100.0,0,0,0.0,2.422977778,60.0,126.904,139.222,2.113761051,293,0,0.0,2.0,1.1127,-2.996,0.0,0.24,4.0,139.222,4_139.222,36.0,0.2399999942135593,5.786440659960591e-09,
"[P6,6,6,14]+",[TFSI]-,[P66614][Doc],stainless steel,0.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,82.6,0,1,82.38,4.337445108,72.0,280.147,483.87,3.359227186,298,0,384.7328028,130.0,12.446,1.0593,5.284512596,0.03155,1.0,483.87,1_483.87,37.0,0.0315500012444213,1.2444213645657063e-09,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),0.25,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,0.67,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,12.0,12.446,2.0514,1.591434542,0.1162,2.0,483.87,2_483.87,38.0,0.1161999999835374,1.64625257870199e-11,
[EMIM] +,[FAP]-,zero,Au(111),1.0,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,6.0,0.3325,7.1942,7.871070033,0.35,5.0,111.168,5_111.168,39.0,0.3499999982039523,1.796047699453851e-09,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),-1.0,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,100.0,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.015,0.0,483.87,0_483.87,40.0,0.0150000011763046,1.1763046786628095e-09,
[BMIm]+,[TFSI]-,PIL,Au(111),0.0,8.81,190.8925906,0,-0.02,1.0,3.310978931,1,3,0.7,95.0,0,0,82.38,2.422977778,60.0,280.147,139.222,3.359227186,298,0,384.7328028,6.0,1.1127,1.0593,5.284512596,0.634,6.0,139.222,6_139.222,41.0,0.6339999990816545,9.183455107475423e-10,
[EA]+,[N]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,66.2,1.632993162,0.0,62.004,46.093,2.192174955,298,1,26.26466251,20.0,-0.7518,-0.2391,2.803039488,0.100018741,2.0,46.093,2_46.093,42.0,0.1905093647704287,0.0904906237704287,
[BMIm]+,[AOT]-,H2O,Au(111),0.0,8.81,190.8925906,0,-0.02,0.2,3.310978931,1,3,0.7,16.5,1,0,109.8,2.422977778,60.0,421.576,139.222,4.637037402,298,0,544.7574562,6.0,1.1127,3.8095,4.726289834,0.524,6.0,139.222,6_139.222,43.0,0.5239999900364886,9.963511460320262e-09,
[HMIM]+,[FAP]-,zero,Au(111),1.5,8.81,215.3680851,0,-0.02,0.2,3.540263249,1,5,0.7,100.0,0,0,0.0,2.153242802,60.0,445.004,167.276,3.775688868,293,0,468.4882895,2.0,1.8929,7.1942,7.871070033,0.41,5.0,167.276,5_167.276,44.0,0.4099999954263266,4.573673328955863e-09,
[DMEA]+,[F]-,zero,mica,0.0,4.44,17.60964047,1,-0.16,0.0569,2.824148313,0,1,1.77,100.0,0,0,40.13,2.539538861,0.0,45.017,74.147,2.091441062,298,1,10.26466251,5.0,-0.8492,-1.6339,2.187496097,0.508860759,6.0,74.147,6_74.147,45.0,0.5088607669977052,7.997705164797253e-09,
[BMIm]+,[AOT]-,H2O,Au(111),-0.5,8.81,190.8925906,0,-0.02,0.2,3.310978931,1,3,0.7,16.5,1,0,109.8,2.422977778,60.0,421.576,139.222,4.637037402,298,0,544.7574562,6.0,1.1127,3.8095,4.726289834,0.312,4.0,139.222,4_139.222,46.0,0.3120000064523461,6.4523461018595185e-09,
[BMIm]+,[TFSI]-,PIL,Au(111),1.0,8.81,190.8925906,0,-0.02,1.0,3.310978931,1,3,0.7,95.0,0,0,82.38,2.422977778,60.0,280.147,139.222,3.359227186,298,0,384.7328028,6.0,1.1127,1.0593,5.284512596,0.184,3.0,139.222,3_139.222,47.0,0.1840000022840654,2.28406546454174e-09,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),1.0,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,10.0,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.763,6.0,483.87,6_483.87,48.0,0.7630000100967214,1.0096721347885308e-08,
[EMIM] +,[FAP]-,zero,Au(111),1.0,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,20.0,0.3325,7.1942,7.871070033,0.36,5.0,111.168,5_111.168,49.0,0.3600000162171086,1.6217108655958157e-08,
"[Py1,4]+",[FAP]-,zero,Au(111),-2.0,0.0,92.90138861,0,-0.02,1.0,3.423597497,0,3,0.7,100.0,0,0,0.0,2.21874475,60.0,445.004,142.266,3.775688868,298,1,468.4882895,6.0,2.0269,7.1942,7.871070033,0.19,3.0,142.266,3_142.266,50.0,0.18999999812052,1.8794800160648606e-09,
[EtA]+,[N]-,zero,mica,0.0,47.87,8.0,2,-0.16,0.0569,2.543129445,1,1,1.77,100.0,0,0,66.2,1.974744871,0.0,62.004,62.092,2.192174955,298,1,26.26466251,30.0,-1.7794,-0.2391,2.803039488,0.77721519,6.0,62.092,6_62.092,51.0,0.7772151826428433,7.357156661669251e-09,
"[P6,6,6,14]+",[AOT]-,[P66614][BTA],stainless steel,-4.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,17.4,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,13.0,12.446,3.8095,4.726289834,0.00102,0.0,483.87,0_483.87,52.0,0.0010199994007014,5.992985344094315e-10,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),0.15,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,1.0,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.395,5.0,483.87,5_483.87,53.0,0.3950000108293618,1.0829361851705244e-08,
"[P6,6,6,14]+",[AOT]-,(CH2CO2Et)2,stainless steel,1.24,0.0,319.1282666,0,0.01,0.9,5.174799948,0,28,0.07,1.002,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,6.0,12.446,3.8095,4.726289834,0.36,5.0,483.87,5_483.87,54.0,0.3600000136461093,1.3646109298104392e-08,
[EA]+,[N]-,zero,polytetrafluoroethylene PTFE,0.0,27.64,2.754887502,1,-5e-05,7.0,2.431285504,0,0,0.019,100.0,0,0,66.2,1.632993162,110.0,62.004,46.093,2.192174955,298,1,26.26466251,20.0,-0.7518,-0.2391,2.803039488,0.130645161,3.0,46.093,3_46.093,55.0,0.1306451556724779,5.327522090148307e-09,
"[P6,6,6,14]+",[AOT]-,hexadecane,stainless steel,0.0,0.0,319.1282666,0,0.01,0.9,5.174799948,0,28,0.07,0.0,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,6.0,12.446,3.8095,4.726289834,0.95,7.0,483.87,7_483.87,56.0,0.9650000035540336,0.0150000035540336,
[BMIm]+,[FAP]-,zero,Au(111),1.0,8.81,190.8925906,0,-0.02,0.2,3.310978931,1,3,0.7,100.0,0,0,0.0,2.422977778,60.0,445.004,139.222,3.775688868,293,0,468.4882895,2.0,1.1127,7.1942,7.871070033,0.38,5.0,139.222,5_139.222,57.0,0.3799999944763876,5.523612400804012e-09,
[PA]+,[N]-,zero,mica,0.0,27.64,5.245112498,1,-0.16,0.0569,2.642365161,0,1,1.77,100.0,0,0,66.2,1.974744871,0.0,62.004,60.12,2.192174955,298,1,26.26466251,40.0,-0.3617,-0.2391,2.803039488,1.1,7.0,60.12,7_60.12,58.0,1.1000000232456206,2.3245620539569245e-08,
[HMIM]+,[FAP]-,zero,HOPG,-1.5,8.81,215.3680851,0,-0.0002,0.89,3.540263249,1,5,0.05,100.0,0,0,0.0,2.153242802,85.0,445.004,167.276,3.775688868,298,0,468.4882895,6.0,1.8929,7.1942,7.871070033,0.0217,1.0,167.276,1_167.276,59.0,0.0217000000762686,7.626859907516881e-11,
[Li(G4)]+,[TFSI]-,zero,Au(111),-0.5,46.15,103.3825112,0,-0.02,1.0,3.859895249,5,12,0.7,100.0,0,0,82.38,0.0,60.0,280.147,229.222,3.359227186,298,0,384.7328028,6.0,-2.667,1.0593,5.284512596,0.12,2.0,229.222,2_229.222,60.0,0.1199999995085139,4.914860740612426e-10,
[BMIm]+,[TFSI]-,PIL,Au(111),-1.0,8.81,190.8925906,0,-0.02,1.0,3.310978931,1,3,0.7,95.0,0,0,82.38,2.422977778,60.0,280.147,139.222,3.359227186,298,0,384.7328028,6.0,1.1127,1.0593,5.284512596,0.911,7.0,139.222,7_139.222,61.0,0.9110000157216634,1.57216634155688e-08,
[BMIm]+,[AOT]-,H2O,stainless steel,1.0,8.81,190.8925906,0,0.01,0.8,3.310978931,1,3,0.07,16.5,1,1,109.8,2.422977778,72.0,421.576,139.222,4.637037402,298,0,544.7574562,6.0,1.1127,3.8095,4.726289834,0.009,0.0,139.222,0_139.222,62.0,0.0089999998900573,1.0994265740860154e-10,
[EA]+,[N]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,66.2,1.632993162,0.0,62.004,46.093,2.192174955,369,1,26.26466251,30.0,-0.7518,-0.2391,2.803039488,0.352,5.0,46.093,5_46.093,63.0,0.3519999987362549,1.2637450530483814e-09,
"[P6,6,6,14]+",[AOT]-,[P66614][BTA],stainless steel,-4.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,17.4,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,130.0,12.446,3.8095,4.726289834,0.000288,0.0,483.87,0_483.87,64.0,0.0002879991803595,8.196404561468772e-10,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),-1.0,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,3.1,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,1.0,12.446,2.0514,1.591434542,0.0944,2.0,483.87,2_483.87,65.0,0.0944000022536481,2.2536481431023603e-09,
[PA]+,[N]-,zero,silica,0.0,27.64,5.245112498,1,-0.07,0.5,2.642365161,0,1,0.2,100.0,0,0,66.2,1.974744871,20.7,62.004,60.12,2.192174955,298,1,26.26466251,10.0,-0.3617,-0.2391,2.803039488,1.02,7.0,60.12,7_60.12,66.0,1.0199999798637704,2.0136229572642605e-08,
[HMIM]+,[TFSI]-,zero,silica,0.0,8.81,215.3680851,0,-0.07,6.03,3.540263249,1,5,0.2,100.0,0,0,82.38,2.153242802,20.7,280.147,167.276,3.359227186,298,0,384.7328028,5.0,1.8929,1.0593,5.284512596,0.036,1.0,167.276,1_167.276,67.0,0.0359999989119205,1.0880794251710846e-09,
[BMIm]+,[FAP]-,zero,Au(111),0.0,8.81,190.8925906,0,-0.02,0.2,3.310978931,1,3,0.7,100.0,0,0,0.0,2.422977778,60.0,445.004,139.222,3.775688868,293,0,468.4882895,2.0,1.1127,7.1942,7.871070033,0.29,4.0,139.222,4_139.222,68.0,0.2899999873194218,1.2680578198587256e-08,
[Li(G4)]+,[TFSI]-,zero,HOPG,0.0,46.15,103.3825112,0,-0.0002,0.89,3.859895249,5,12,0.05,100.0,0,0,82.38,0.0,85.0,280.147,229.222,3.359227186,298,0,384.7328028,6.0,-2.667,1.0593,5.284512596,0.017,0.0,229.222,0_229.222,69.0,0.0170000025629262,2.562926218474537e-09,
[DMEA]+,[F]-,zero,mica,0.0,4.44,17.60964047,1,-0.16,0.0569,2.824148313,0,1,1.77,100.0,0,0,40.13,2.539538861,0.0,45.017,74.147,2.091441062,298,1,10.26466251,30.0,-0.8492,-1.6339,2.187496097,0.607594937,6.0,74.147,6_74.147,70.0,0.6075949080490692,2.8950930763826932e-08,
"[P6,6,6,14]+",[TFSI]-,zero,HOPG,1.0,0.0,319.1282666,0,-0.0002,0.89,5.174799948,0,28,0.05,100.0,0,0,82.38,4.337445108,85.0,280.147,483.87,3.359227186,298,0,384.7328028,6.0,12.446,1.0593,5.284512596,0.004,0.0,483.87,0_483.87,71.0,0.0040000005092675,5.092675760265395e-10,
"[P6,6,6,14]+",[DS]-,zero,stainless steel,0.0,0.0,319.1282666,0,0.01,0.9,5.174799948,0,28,0.07,100.0,0,1,66.43,4.337445108,72.0,265.395,483.87,3.990255029,298,0,249.2312434,6.0,12.446,3.3841,3.038016531,0.3,4.0,483.87,4_483.87,72.0,0.3000000123292428,1.2329242793374108e-08,
"[P6,6,6,14]+",[TFSI]-,[P66614][Doc],stainless steel,4.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,82.6,0,1,82.38,4.337445108,72.0,280.147,483.87,3.359227186,298,0,384.7328028,1.0,12.446,1.0593,5.284512596,0.0248,1.0,483.87,1_483.87,73.0,0.0248000003327537,3.3275370306395925e-10,
[HMIM]+,[TFSI]-,zero,silica,0.0,8.81,215.3680851,0,-0.07,4.85,3.540263249,1,5,0.2,100.0,0,0,82.38,2.153242802,20.7,280.147,167.276,3.359227186,298,0,384.7328028,1.0,1.8929,1.0593,5.284512596,0.066,2.0,167.276,2_167.276,74.0,0.0660000001332908,1.3329082282353966e-10,
"[P6,6,6,14]+",[AOT]-,[P66614][BTA],stainless steel,0.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,17.4,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,13.0,12.446,3.8095,4.726289834,0.03868,1.0,483.87,1_483.87,75.0,0.0386799986400842,1.359915742515927e-09,
[HMIM]+,[FAP]-,zero,Au(111),1.0,8.81,215.3680851,0,-0.02,0.2,3.540263249,1,5,0.7,100.0,0,0,0.0,2.153242802,60.0,445.004,167.276,3.775688868,293,0,468.4882895,2.0,1.8929,7.1942,7.871070033,0.36,5.0,167.276,5_167.276,76.0,0.3600000162510309,1.6251030909852915e-08,
