source_literature_key,source_literature_title,source_literature_path,source_literature_abs_path,source_literature_doi,source_match_confidence,source_match_status,source_match_rule,source_match_basis,source_match_notes,wff_dataset,wff_source_file,wff_row_number,source_path_exists,Cation,anion,compound,surface,h,r_cat,logP_cat,MW_cat,N_rot_cat,velocity,I_ss,Potential,MW_an,Bertz_cat,r_an,N_qN_cat,σ_s,γ_s,TPSA_an,Rq,TPSA_cat,BalJ_cat,logP_an,θ_s,I_H2O,T,x_IL,N_HA_cat,Bertz_an,BalJ_an,μ,friction_bin,cation_bin,stratify_label,original_index,friction_pred,friction_diff,error_flag,N_HD_cat
bmim_aot_water_2025,Potential-dependent superlubricity of stainless steel and Au(111) using a water-in-surface-active ionic liquid mixture,reference/Lubrication/Extracted/2025-Potential-dependent superlubricity of stainless steel and Au(111) using a.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/Extracted/2025-Potential-dependent superlubricity of stainless steel and Au(111) using a.pdf,,high,matched_local_reference,bmim_aot_h2o_au_stainless,[BMIm]+ [AOT]- / compound=H2O / surface=Au(111) / potential=-0.5 / velocity=6.0,1.6 M [BMIm][AOT] water-in-surface-active ionic liquid mixture on Au(111)/stainless steel.,film,film+dataset0312.csv,11,True,[BMIm]+,[AOT]-,H2O,Au(111),2.0,3.310978931,1.1127,139.222,3,6.0,0,-0.5,421.576,190.8925906,4.637037402,0,0.7,-0.02,109.8,0.2,8.81,2.422977778,3.8095,60.0,1,298,16.5,1,544.7574562,4.726289834,0.312,4.0,139.222,4_139.222,,,,,
control_gold_2012,Control of Nanoscale Friction on Gold in an Ionic Liquid by a Potential-Dependent Ionic Lubricant Layer,reference/Lubrication/3.10/2012-Rutland-Control of Nanoscale Friction on Gold in an Ionic Liquid by a Potential-Dependent Ionic Lubricant Layer.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/3.10/2012-Rutland-Control of Nanoscale Friction on Gold in an Ionic Liquid by a Potential-Dependent Ionic Lubricant Layer.pdf,,high,matched_local_reference,py14_fap_au,"[Py1,4]+ [FAP]- / compound=zero / surface=Au(111) / potential=1.0 / velocity=6.0","Exact [Py1,4][FAP] on Au(111) potential-dependent lubricant layer system.",film,film+dataset0312.csv,12,True,"[Py1,4]+",[FAP]-,zero,Au(111),4.086022,3.423597497,2.0269,142.266,3,6.0,0,1.0,445.004,92.90138861,3.775688868,1,0.7,-0.02,0.0,1.0,0.0,2.21874475,7.1942,60.0,0,298,100.0,0,468.4882895,7.871070033,0.45,5.0,142.266,5_142.266,,,,,
ean_mica_2012,Ionic liquid nanotribology: mica-silica interactions in ethylammonium nitrate,reference/Lubrication/Extracted/2012-rutland-Ionic liquid nanotribology mica–silica interactions in ethylammonium nitrate.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/Extracted/2012-rutland-Ionic liquid nanotribology mica–silica interactions in ethylammonium nitrate.pdf,10.1039/C2SM25620K,high,matched_local_reference,ean_mica_silica_2012,[EA]+ [N]- / compound=zero / surface=mica / potential=0.0 / velocity=40.0,"EAN on mica/silica nanotribology system. Some EAN rows overlap ion-structure comparisons, but this is the EAN-specific primary paper in the local Lubrication corpus.",film,film+dataset0312.csv,13,True,[EA]+,[N]-,zero,mica,2.884955752,2.431285504,-0.7518,46.093,0,40.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,2.3,7.0,46.093,7_46.093,,,,,
surface_active_2024,Surface-active ionic liquids as lubricant additives to hexadecane and diethyl succinate,reference/Lubrication/Extracted/Surface-active ionic liquids as lubricant additives to hexadecane and diethyl succinate.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/Extracted/Surface-active ionic liquids as lubricant additives to hexadecane and diethyl succinate.pdf,,high,matched_local_reference,p66614_aot_ds_stainless_additives,"[P6,6,6,14]+ [AOT]- / compound=(CH2CO2Et)2 / surface=stainless steel / potential=1.24 / velocity=6.0",Surface-active phosphonium AOT/DS additives in hexadecane or diethyl succinate on stainless steel.,film,film+dataset0312.csv,14,True,"[P6,6,6,14]+",[AOT]-,(CH2CO2Et)2,stainless steel,0.69,5.174799948,12.446,483.87,28,6.0,1,1.24,421.576,319.1282666,4.637037402,0,0.07,0.01,109.8,0.9,0.0,4.337445108,3.8095,72.0,0,298,1.002,0,544.7574562,4.726289834,0.36,4.0,483.87,4_483.87,,,,,
ean_mica_2012,Ionic liquid nanotribology: mica-silica interactions in ethylammonium nitrate,reference/Lubrication/Extracted/2012-rutland-Ionic liquid nanotribology mica–silica interactions in ethylammonium nitrate.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/Extracted/2012-rutland-Ionic liquid nanotribology mica–silica interactions in ethylammonium nitrate.pdf,10.1039/C2SM25620K,high,matched_local_reference,ean_mica_silica_2012,[EA]+ [N]- / compound=zero / surface=mica / potential=0.0 / velocity=30.0,"EAN on mica/silica nanotribology system. Some EAN rows overlap ion-structure comparisons, but this is the EAN-specific primary paper in the local Lubrication corpus.",film,film+dataset0312.csv,15,True,[EA]+,[N]-,zero,mica,0.75,2.431285504,-0.7518,46.093,0,30.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.563,5.0,46.093,5_46.093,,,,,
superlubricity_hopg_2014,An ionic liquid lubricant enables superlubricity to be switched on in situ using an electrical potential,reference/Lubrication/3.10/2014-atkin-An ionic liquid lubricant enables superlubricity to be “switched on” in situ usin.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/3.10/2014-atkin-An ionic liquid lubricant enables superlubricity to be “switched on” in situ usin.pdf,10.1039/C4CC00979G,high,matched_local_reference,hmim_fap_hopg,[HMIM]+ [FAP]- / compound=zero / surface=HOPG / potential=-1.5 / velocity=6.0,[HMIM][FAP] on HOPG potential-dependent superlubricity system.,film,film+dataset0312.csv,16,True,[HMIM]+,[FAP]-,zero,HOPG,0.54,3.540263249,1.8929,167.276,5,6.0,0,-1.5,445.004,215.3680851,3.775688868,0,0.05,-0.0002,0.0,0.89,8.81,2.153242802,7.1942,85.0,0,298,100.0,1,468.4882895,7.871070033,0.0217,1.0,167.276,1_167.276,,,,,
protic_2014,Effect of ion structure on nanoscale friction in protic ionic liquids,reference/Lubrication/Extracted/2014-Rutland-Effect of ion structure on nanoscale friction in protic ionic liquids.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/Extracted/2014-Rutland-Effect of ion structure on nanoscale friction in protic ionic liquids.pdf,,high,matched_local_reference,protic_ion_structure_2014,[EtA]+ [N]- / compound=zero / surface=mica / potential=0.0 / velocity=20.0,"Protic ionic-liquid ion-structure series on mica/silica, covering EA/PA/DMEA/EtA nitrate/formate systems.",film,film+dataset0312.csv,17,True,[EtA]+,[N]-,zero,mica,0.437894737,2.543129445,-1.7794,62.092,1,20.0,0,0.0,62.004,8.0,2.192174955,1,1.77,-0.16,66.2,0.0569,47.87,1.974744871,-0.2391,0.0,0,298,100.0,1,26.26466251,2.803039488,0.670886076,5.0,62.092,5_62.092,,,,,
bmim_surfaces_2022,Ionic liquids on uncharged and charged surfaces: in situ microstructures and nanofriction,reference/Lubrication/2022-Ionic liquids on uncharged and charged surfaces In situ.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/2022-Ionic liquids on uncharged and charged surfaces In situ.pdf,10.1007/s40544-021-0566-5,high,matched_local_reference,bmim_bf4_pf6_mica_hopg,[BMIm]+ [BF4]- / compound=zero / surface=HOPG / potential=0.0 / velocity=20.0,BMIM BF4/PF6 on uncharged mica and HOPG with in situ microstructures and nanofriction.,film,film+dataset0312.csv,18,True,[BMIm]+,[BF4]-,zero,HOPG,3.8,3.310978931,1.1127,139.222,3,20.0,0,0.0,86.804,190.8925906,2.328453731,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,1.3,85.0,0,298,100.0,1,19.11941548,3.023715784,0.003,0.0,139.222,0_139.222,,,,,
protic_2014,Effect of ion structure on nanoscale friction in protic ionic liquids,reference/Lubrication/Extracted/2014-Rutland-Effect of ion structure on nanoscale friction in protic ionic liquids.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/Extracted/2014-Rutland-Effect of ion structure on nanoscale friction in protic ionic liquids.pdf,,high,matched_local_reference,protic_ion_structure_2014,[PA]+ [F]- / compound=zero / surface=mica / potential=0.0 / velocity=30.0,"Protic ionic-liquid ion-structure series on mica/silica, covering EA/PA/DMEA/EtA nitrate/formate systems.",film,film+dataset0312.csv,19,True,[PA]+,[F]-,zero,mica,0.666666667,2.642365161,-0.3617,60.12,1,30.0,0,0.0,45.017,5.245112498,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.974744871,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.017721519,6.0,60.12,6_60.12,,,,,
protic_2014,Effect of ion structure on nanoscale friction in protic ionic liquids,reference/Lubrication/Extracted/2014-Rutland-Effect of ion structure on nanoscale friction in protic ionic liquids.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/Extracted/2014-Rutland-Effect of ion structure on nanoscale friction in protic ionic liquids.pdf,,high,matched_local_reference,protic_ion_structure_2014,[EA]+ [F]- / compound=zero / surface=mica / potential=0.0 / velocity=10.0,"Protic ionic-liquid ion-structure series on mica/silica, covering EA/PA/DMEA/EtA nitrate/formate systems.",film,film+dataset0312.csv,20,True,[EA]+,[F]-,zero,mica,1.667334669,2.431285504,-0.7518,46.093,0,10.0,0,0.0,45.017,2.754887502,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.632993162,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.25,6.0,46.093,6_46.093,,,,,
superlubricity_hopg_2014,An ionic liquid lubricant enables superlubricity to be switched on in situ using an electrical potential,reference/Lubrication/3.10/2014-atkin-An ionic liquid lubricant enables superlubricity to be “switched on” in situ usin.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/3.10/2014-atkin-An ionic liquid lubricant enables superlubricity to be “switched on” in situ usin.pdf,10.1039/C4CC00979G,high,matched_local_reference,hmim_fap_hopg,[HMIM]+ [FAP]- / compound=zero / surface=HOPG / potential=1.5 / velocity=6.0,[HMIM][FAP] on HOPG potential-dependent superlubricity system.,film,film+dataset0312.csv,21,True,[HMIM]+,[FAP]-,zero,HOPG,0.437,3.540263249,1.8929,167.276,5,6.0,0,1.5,445.004,215.3680851,3.775688868,0,0.05,-0.0002,0.0,0.89,8.81,2.153242802,7.1942,85.0,0,298,100.0,1,468.4882895,7.871070033,0.001,0.0,167.276,0_167.276,,,,,
bmim_surfaces_2022,Ionic liquids on uncharged and charged surfaces: in situ microstructures and nanofriction,reference/Lubrication/2022-Ionic liquids on uncharged and charged surfaces In situ.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/2022-Ionic liquids on uncharged and charged surfaces In situ.pdf,10.1007/s40544-021-0566-5,high,matched_local_reference,bmim_bf4_pf6_mica_hopg,[BMIm]+ [PF6]- / compound=zero / surface=HOPG / potential=0.0 / velocity=20.0,BMIM BF4/PF6 on uncharged mica and HOPG with in situ microstructures and nanofriction.,film,film+dataset0312.csv,22,True,[BMIm]+,[PF6]-,zero,HOPG,0.0,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,3.3824,85.0,0,298,0.0,1,62.74506838,4.431293675,0.002,0.0,139.222,0_139.222,,,,,
protic_2014,Effect of ion structure on nanoscale friction in protic ionic liquids,reference/Lubrication/Extracted/2014-Rutland-Effect of ion structure on nanoscale friction in protic ionic liquids.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/Extracted/2014-Rutland-Effect of ion structure on nanoscale friction in protic ionic liquids.pdf,,high,matched_local_reference,protic_ion_structure_2014,[PA]+ [F]- / compound=zero / surface=mica / potential=0.0 / velocity=5.0,"Protic ionic-liquid ion-structure series on mica/silica, covering EA/PA/DMEA/EtA nitrate/formate systems.",film,film+dataset0312.csv,23,True,[PA]+,[F]-,zero,mica,0.666666667,2.642365161,-0.3617,60.12,1,5.0,0,0.0,45.017,5.245112498,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.974744871,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,0.843037975,6.0,60.12,6_60.12,,,,,
hydrogen_bond_2020,Effect of Hydrogen Bonding between Ions of Like Charge on the Boundary Layer Friction of Hydroxy-Functionalized Ionic Liquids,reference/Lubrication/Extracted/2020-atkin-Effect of Hydrogen Bonding between Ions of Like Charge on the.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/Extracted/2020-atkin-Effect of Hydrogen Bonding between Ions of Like Charge on the.pdf,,high,matched_local_reference,hydroxy_functionalized_mica,[HOC3Py] + [TFSI]- / compound=zero / surface=mica / potential=0.0 / velocity=6.0,Hydroxy-functionalized ionic liquids on mica; same-charge hydrogen-bonding boundary-layer friction paper.,film,film+dataset0312.csv,24,True,[HOC3Py] +,[TFSI]-,zero,mica,0.756,3.236493461,0.3565,138.19,3,6.0,0,0.0,280.147,173.8722824,3.359227186,0,1.77,-0.16,82.38,0.0569,24.11,2.426522347,1.0593,0.0,0,293,100.0,1,384.7328028,5.284512596,0.18,3.0,138.19,3_138.19,,,,,
surface_active_2024,Surface-active ionic liquids as lubricant additives to hexadecane and diethyl succinate,reference/Lubrication/Extracted/Surface-active ionic liquids as lubricant additives to hexadecane and diethyl succinate.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/Extracted/Surface-active ionic liquids as lubricant additives to hexadecane and diethyl succinate.pdf,,high,matched_local_reference,p66614_aot_ds_stainless_additives,"[P6,6,6,14]+ [AOT]- / compound=hexadecane / surface=stainless steel / potential=0.0 / velocity=6.0",Surface-active phosphonium AOT/DS additives in hexadecane or diethyl succinate on stainless steel.,film,film+dataset0312.csv,25,True,"[P6,6,6,14]+",[AOT]-,hexadecane,stainless steel,0.89,5.174799948,12.446,483.87,28,6.0,1,0.0,421.576,319.1282666,4.637037402,0,0.07,0.01,109.8,0.9,0.0,4.337445108,3.8095,72.0,0,298,0.508,0,544.7574562,4.726289834,0.56,5.0,483.87,5_483.87,,,,,
surface_active_2024,Surface-active ionic liquids as lubricant additives to hexadecane and diethyl succinate,reference/Lubrication/Extracted/Surface-active ionic liquids as lubricant additives to hexadecane and diethyl succinate.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/Extracted/Surface-active ionic liquids as lubricant additives to hexadecane and diethyl succinate.pdf,,high,matched_local_reference,p66614_aot_ds_stainless_additives,"[P6,6,6,14]+ [DS]- / compound=hexadecane / surface=stainless steel / potential=0.0 / velocity=6.0",Surface-active phosphonium AOT/DS additives in hexadecane or diethyl succinate on stainless steel.,film,film+dataset0312.csv,26,True,"[P6,6,6,14]+",[DS]-,hexadecane,stainless steel,1.0,5.174799948,12.446,483.87,28,6.0,1,0.0,265.395,319.1282666,3.990255029,0,0.07,0.01,66.43,0.9,0.0,4.337445108,3.3841,72.0,0,298,0.613,0,249.2312434,3.038016531,0.77,5.0,483.87,5_483.87,,,,,
graphite_2021,Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,reference/Lubrication/2021-atkin-potential-dependent-superlubricity-of-ionic-liquids-on-a-graphite-surface.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/2021-atkin-potential-dependent-superlubricity-of-ionic-liquids-on-a-graphite-surface.pdf,10.1021/acs.jpcc.0c10804,high,matched_local_reference,phosphonium_hopg_graphite,"[P6,6,6,14]+ [BEHP]- / compound=zero / surface=HOPG / potential=-1.0 / velocity=6.0",HOPG phosphonium ionic-liquid comparison series from the graphite potential-dependent superlubricity paper.,film,film+dataset0312.csv,27,True,"[P6,6,6,14]+",[BEHP]-,zero,HOPG,3.3,5.174799948,12.446,483.87,28,6.0,0,-1.0,321.418,319.1282666,4.32349866,0,0.05,-0.0002,58.59,0.89,0.0,4.337445108,4.9208,85.0,0,298,100.0,0,259.4505415,4.075382025,0.002,0.0,483.87,0_483.87,,,,,
graphite_2021,Potential-Dependent Superlubricity of Ionic Liquids on a Graphite Surface,reference/Lubrication/2021-atkin-potential-dependent-superlubricity-of-ionic-liquids-on-a-graphite-surface.pdf,/Users/julyanffzz/项目/Ioniclink/reference/Lubrication/2021-atkin-potential-dependent-superlubricity-of-ionic-liquids-on-a-graphite-surface.pdf,10.1021/acs.jpcc.0c10804,high,matched_local_reference,phosphonium_hopg_graphite,"[P4,4,4,1 ]+ [TFSI]- / compound=zero / surface=HOPG / potential=1.0 / velocity=6.0",HOPG phosphonium ionic-liquid comparison series from the graphite potential-dependent superlubricity paper.,film,film+dataset0312.csv,28,True,"[P4,4,4,1 ]+",[TFSI]-,zero,HOPG,3.6,3.951373459,5.0341,217.357,9,6.0,0,1.0,280.147,98.62953293,3.359227186,0,0.05,-0.0002,82.38,0.89,0.0,3.889782595,1.0593,85.0,0,298,100.0,0,384.7328028,5.284512596,0.018,1.0,217.357,1_217.357,,,,,
